Type;District;Rooms;Vacancies;Suites;Area;Value;Condominium;Taxes
Apartment;Vila Isabel;2;1;0;70;1100;550;
Apartment;São Conrado;4;3;4;600;23000;16864;3910
Apartment;Gávea;3;1;1;108;5000;1769;226
Apartment;Recreio dos Bandeirantes;2;1;2;85;2300;1350;125
Apartment;Catete;1;0;0;45;1600;500;55
Commercial Set;Barra da Tijuca;0;1;0;32;800;870;
Kitchenette;Copacabana;1;0;0;15;1100;600;
Commercial Set;Centro;0;0;0;101;2000;4700;
Commercial Set;Barra da Tijuca;0;1;0;28;1600;912;
Apartment;Barra da Tijuca;3;2;3;160;7000;1087;455
Commercial Set;Centro;0;0;0;150;4000;2000;
Commercial Set;Botafogo;0;0;0;457;50000;17600;23500
Village House;Quintino Bocaiúva;2;1;0;48;750;;
Apartment;Lagoa;3;2;1;130;5000;1000;300
Apartment;Freguesia (Jacarepaguá);3;2;1;100;2100;780;140
Commercial Set;Centro;0;2;0;240;7000;3203;1300
Apartment;Freguesia (Jacarepaguá);3;2;3;180;5500;1200;318
Apartment;Copacabana;3;0;0;80;2500;800;157
Condominuim House;Barra da Tijuca;3;0;2;367;6000;510;423
Commercial Set;Santo Cristo;0;16;0;1200;78000;23000;
Apartment;Recreio dos Bandeirantes;3;1;1;85;1900;450;112
House;Jardim Botânico;2;4;1;107;9500;;1091
Commercial Set;Botafogo;0;15;0;700;59500;21994;5586
Commercial Set;Barra da Tijuca;0;0;0;10;6213;;
Apartment;Barra da Tijuca;5;4;3;171;9000;2000;3500
Apartment;Centro;1;0;0;42;2200;619;202
Apartment;Méier;2;1;0;62;1000;600;38
Kitchenette;Leblon;1;0;0;25;1950;360;58
Store/Hall;Taquara;0;0;0;15;600;;
Apartment;Leblon;4;3;4;260;13500;3100;
House;Recreio dos Bandeirantes;4;4;2;367;12000;;653
Commercial Set;Centro;0;0;0;594;9000;;727
Store/Hall;Copacabana;0;0;0;310;30000;700;
Commercial Set;Centro;0;0;0;373;30000;6723;1492
Commercial Set;Ipanema;0;5;0;200;25200;4680;
Apartment;Grajaú;2;0;0;65;1400;415;21
Apartment;Lagoa;4;3;1;180;11000;2530;812
Apartment;Copacabana;1;0;0;43;1800;639;76
